Player,Nation,Pos,Squad,Age,Born,90s,Comp,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Take Ons - Attempted,Succ,Succ%,Tkld,Tkld%,Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - Final 1/3 Entry,Carries - CPA,Carries - Miscontrols,Carries - Dispossessed,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Total - Cmp,Total - Att,Total - Cmp%,TotDist,PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tackles - Tkl,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Dribblers Tackled - Tkl,Att,Tkl%,Total Blocks,Shots Blocked,Passes Blocked,Tkl+Int,Clr,Err,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCA - PassLive,SCA - PassDead,SCA - TO,SCA - Sh,SCA - Fld,SCA - Def,GCA,GCA90,GCA - PassLive,GCA - PassDead,GCA - TO,GCA - Sh,GCA - Fld,GCA - Def,Dead,TB,Sw,TI,CK,In,Out,Str,Cmp,Blocks,Season,position_group,Age_Years
Ivan Rakitić,hr CRO,MF,Sevilla,35,1988,15.8,es La Liga,1251,19,169,685,412,23,1251,20,8,40.0,9,45.0,641,2999,1588,24,21,1,30,5,797,52,6,0,0,16,19,1,131,14,16,0,0,0,117,12,13,48.0,821,1095,75.0,16004,4888,352,406,86.7,302,374,80.7,145,259,56.0,1,3.0,4.1,-2.0,49,111,26,16,127,30,9,12,9,11,19,57.9,16,5,11,44,12,0,2,32,7,21.9,2.02,0.44,0.06,0.29,26.9,3,0,0,1.3,1.3,0.04,0.7,0.7,80,5.05,47,27,1,2,3,0,1,0.06,0,1,0,0,0,0,175,2,32,22,82,24,39,0,821,19,2023-2024,Central Midfielders,35
Ylber Ramadani,al ALB,MF,Lecce,27,1996,33.0,it Serie A,1589,75,434,958,232,6,1589,40,23,57.5,14,35.0,846,4605,1919,36,32,0,35,25,890,14,13,0,0,42,37,0,14,44,41,0,1,0,225,29,27,51.8,991,1250,79.3,18442,5050,382,452,84.5,466,531,87.8,120,199,60.3,0,0.5,0.7,-0.5,16,103,10,3,121,68,32,29,7,37,96,38.5,54,13,41,112,44,0,1,31,6,19.4,0.94,0.18,0.03,0.17,27.6,0,0,0,1.0,1.0,0.03,0.0,0.0,55,1.67,43,1,2,6,2,1,0,0.0,0,0,0,0,0,0,19,3,6,2,0,0,0,0,991,27,2023-2024,Central Midfielders,27
Largie Ramazani,be BEL,"FW,MF",Almería,22,2001,17.3,es La Liga,578,11,90,251,263,59,578,74,31,41.9,38,51.4,381,3109,1775,59,41,27,45,33,396,104,11,2,2,27,24,9,32,34,7,1,0,0,81,5,25,16.7,203,340,59.7,3265,1275,109,150,72.7,64,108,59.3,19,43,44.2,5,5.7,2.4,-0.7,26,26,16,2,42,12,5,6,1,6,26,23.1,16,2,14,46,10,0,3,40,12,30.0,2.32,0.69,0.08,0.25,17.5,1,0,0,4.7,4.7,0.12,-1.7,-1.7,57,3.29,36,1,7,7,5,1,10,0.58,7,0,2,0,1,0,7,4,2,3,1,1,0,0,203,17,2023-2024,Attacking Midfielders,22
Benito Ramírez,es ESP,"FW,MF",Las Palmas,28,1995,4.3,es La Liga,245,6,32,106,112,10,245,11,2,18.2,9,81.8,150,963,471,13,8,5,10,3,168,46,0,0,0,4,4,2,33,3,3,0,0,0,22,2,11,15.4,136,196,69.4,1861,488,99,109,90.8,23,37,62.2,8,29,27.6,1,0.5,0.4,0.5,2,8,5,3,5,5,2,3,0,3,6,50.0,7,1,6,8,0,0,1,10,3,30.0,2.34,0.7,0.1,0.33,22.5,1,0,0,0.4,0.4,0.04,0.6,0.6,8,1.87,5,0,1,1,1,0,2,0.47,1,0,0,1,0,0,26,1,0,12,8,3,4,0,136,12,2023-2024,Attacking Midfielders,28
Sandro Ramírez,es ESP,FW,Las Palmas,28,1995,20.1,es La Liga,901,17,68,328,515,81,900,54,22,40.7,25,46.3,543,3118,1302,61,26,30,65,23,656,209,3,0,0,20,36,16,89,4,8,1,0,0,60,7,11,38.9,516,690,74.8,7912,1872,302,353,85.6,148,178,83.1,47,92,51.1,3,2.6,3.0,0.4,32,18,25,4,54,12,4,6,2,6,15,40.0,13,1,12,16,14,1,1,51,18,35.3,2.54,0.9,0.02,0.06,21.7,5,0,1,3.7,3.0,0.06,-2.7,-2.0,77,3.84,41,17,4,7,6,2,5,0.25,3,1,0,0,1,0,111,1,4,3,69,18,34,0,516,24,2023-2024,Forwards,28
Chris Ramos,es ESP,"FW,MF",Cádiz,26,1997,29.0,es La Liga,896,51,100,323,479,136,896,69,18,26.1,44,63.8,431,1951,701,31,24,21,95,53,645,102,5,0,0,61,46,12,12,9,15,2,0,0,60,172,164,51.2,274,486,56.4,3305,630,181,275,65.8,65,129,50.4,7,16,43.8,1,1.7,1.4,-0.7,14,13,9,1,28,28,9,15,4,8,27,29.6,23,7,16,37,44,0,5,76,27,35.5,2.62,0.93,0.07,0.19,12.0,0,0,0,10.1,10.1,0.13,-5.1,-5.1,39,1.34,17,0,7,7,7,1,2,0.07,0,0,0,0,2,0,13,0,0,3,0,0,0,0,274,9,2023-2024,Attacking Midfielders,26
Gonçalo Ramos,pt POR,FW,Paris S-G,22,2001,15.8,fr Ligue 1,592,17,76,238,282,93,591,21,8,38.1,11,52.4,432,1766,518,11,10,10,37,16,439,88,1,0,0,19,22,3,3,5,15,2,0,0,44,30,23,56.6,304,397,76.6,3651,601,199,245,81.2,67,90,74.4,7,11,63.6,1,2.4,1.6,-1.4,15,18,9,0,29,25,4,12,9,6,20,30.0,12,2,10,30,16,0,11,54,20,37.0,3.42,1.27,0.19,0.5,13.2,0,1,1,10.9,10.2,0.19,0.1,-0.2,34,2.16,22,0,1,3,4,4,6,0.38,3,0,0,0,3,0,7,4,0,1,0,0,0,0,304,14,2023-2024,Forwards,22
Sergio Ramos,es ESP,DF,Sevilla,37,1986,28.0,es La Liga,1870,289,1000,801,85,29,1870,11,6,54.5,3,27.3,994,5262,2701,11,10,3,13,6,1192,5,7,1,0,27,22,9,2,41,30,0,1,1,143,80,41,66.1,1356,1524,89.0,29709,10962,387,420,92.1,712,754,94.4,248,325,76.3,0,0.1,0.4,-0.1,4,103,3,0,81,45,32,11,2,27,40,67.5,35,30,5,86,156,0,3,28,11,39.3,1.0,0.39,0.11,0.27,18.9,5,0,0,1.9,1.9,0.07,1.1,1.1,21,0.75,17,0,0,3,1,0,3,0.11,2,0,0,1,0,0,52,1,31,5,0,0,0,0,1356,3,2023-2024,Defender,37
Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,6.0,eng Premier League,197,140,186,11,0,0,197,0,0,0.0,0,0.0,137,697,399,0,0,0,1,0,104,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0.0,131,188,69.7,3303,2420,38,38,100.0,61,62,98.4,32,86,37.2,0,0.0,0.0,0.0,0,4,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0,3,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,131,2,2023-2024,GK,25
Aaron Ramsey,eng ENG,"MF,FW",Burnley,20,2003,5.9,eng Premier League,228,15,63,102,65,9,228,10,3,30.0,6,60.0,117,514,168,8,5,4,11,10,142,17,1,0,0,7,3,1,2,1,14,0,1,0,24,4,5,44.4,118,151,78.1,1856,224,71,84,84.5,37,46,80.4,9,10,90.0,0,0.4,0.5,-0.4,1,7,2,0,8,17,7,5,5,8,16,50.0,11,2,9,18,10,0,0,6,2,33.3,1.02,0.34,0.0,0.0,16.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,5,0.85,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,9,1,0,2,0,0,0,0,118,9,2023-2024,Attacking Midfielders,20
Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,22,2001,9.5,eng Premier League,433,10,69,178,195,47,433,20,8,40.0,11,55.0,272,1785,843,33,19,11,18,21,314,69,2,0,0,7,12,0,11,3,8,0,0,0,42,5,3,62.5,257,322,79.8,3751,863,143,173,82.7,97,115,84.3,9,12,75.0,1,1.0,1.4,0.0,10,22,5,0,28,16,7,6,3,5,15,33.3,15,2,13,19,8,0,1,19,4,21.1,2.0,0.42,0.05,0.25,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,29,3.06,23,2,1,2,0,1,3,0.32,2,1,0,0,0,0,12,3,0,1,10,3,0,0,257,9,2023-2024,Attacking Midfielders,22
Luca Ranieri,it ITA,DF,Fiorentina,24,1999,22.9,it Serie A,1538,120,683,775,89,16,1538,13,4,30.8,8,61.5,937,4601,2808,17,22,0,13,0,1013,5,14,0,0,32,11,1,13,29,10,0,0,0,99,40,38,51.3,1142,1362,83.8,23351,8689,350,385,90.9,617,682,90.5,165,265,62.3,1,0.4,0.7,0.6,7,95,11,2,99,14,11,1,2,8,13,61.5,25,11,14,43,64,0,2,10,3,30.0,0.44,0.13,0.2,0.67,8.8,0,0,0,0.9,0.9,0.09,1.1,1.1,22,0.96,19,1,0,2,0,0,2,0.09,1,1,0,0,0,0,69,0,5,16,0,0,0,0,1142,8,2023-2024,Defender,24
Filippo Ranocchia,it ITA,"MF,DF",Empoli,22,2001,5.3,it Serie A,284,19,69,165,51,4,284,10,6,60.0,2,20.0,158,899,359,5,4,0,12,8,174,11,3,0,0,11,8,0,10,3,11,0,0,0,16,6,4,60.0,152,216,70.4,2895,1062,61,73,83.6,66,80,82.5,21,51,41.2,0,0.5,1.0,-0.5,4,17,4,0,21,16,7,9,0,7,16,43.8,9,1,8,19,14,0,0,6,2,33.3,1.13,0.38,0.0,0.0,26.6,2,0,0,0.2,0.2,0.04,-0.2,-0.2,8,1.51,6,2,0,0,0,0,0,0.0,0,0,0,0,0,0,17,1,3,2,2,2,0,0,152,5,2023-2024,Defensive-Midfielders,22
Grant Ranos,am ARM,"MF,FW",Gladbach,20,2003,0.5,de Bundesliga,36,0,1,15,20,4,36,3,1,33.3,2,66.7,20,82,14,0,1,0,2,5,23,4,0,0,0,0,0,1,1,0,0,0,0,0,5,1,5,16.7,20,25,80.0,262,76,9,10,90.0,8,11,72.7,0,1,0.0,0,0.0,0.1,0.0,0,2,0,0,3,1,0,0,1,0,0,0.0,0,0,0,1,0,0,0,3,0,0.0,5.51,0.0,0.0,0.0,17.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,2,3.6,2,0,0,0,0,0,1,1.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,2023-2024,Attacking Midfielders,20
Raphinha,br BRA,"FW,MF",Barcelona,26,1996,15.2,es La Liga,894,11,80,338,484,81,893,46,24,52.2,19,41.3,495,2884,1418,49,22,23,41,8,620,164,4,1,0,17,25,7,82,13,8,1,0,0,74,9,5,64.3,522,693,75.3,8785,2397,261,313,83.4,182,222,82.0,63,114,55.3,9,5.7,5.0,3.3,41,39,32,8,57,14,6,6,2,4,18,22.2,17,1,16,27,11,0,6,58,20,34.5,3.82,1.32,0.09,0.25,19.8,10,1,1,7.4,6.6,0.12,-1.4,-1.6,89,5.86,47,20,6,8,7,1,13,0.86,9,3,0,1,0,0,88,6,11,19,50,20,19,0,522,16,2023-2024,Attacking Midfielders,26
Nicolai Rapp,de GER,DF,Werder Bremen,26,1996,0.8,de Bundesliga,56,7,31,24,1,0,56,0,0,0.0,0,0.0,29,144,64,1,0,0,1,1,24,0,1,0,0,2,0,0,0,2,2,0,0,0,10,1,0,100.0,32,40,80.0,563,213,12,14,85.7,18,22,81.8,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,2,3,2,1,0,2,2,100.0,2,0,2,5,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,32,0,2023-2024,Defender,26
Elba Rashani,xk KVX,"MF,FW",Clermont Foot,30,1993,13.1,fr Ligue 1,550,17,93,238,227,42,550,46,17,37.0,26,56.5,403,2377,803,19,16,6,22,22,367,102,4,2,0,27,29,3,28,12,18,1,0,0,58,24,18,57.1,294,392,75.0,3753,849,191,225,84.9,75,106,70.8,6,17,35.3,0,1.2,0.8,-1.2,12,16,5,3,22,30,4,17,9,11,24,45.8,17,3,14,42,15,0,2,17,5,29.4,1.3,0.38,0.12,0.4,16.8,0,0,0,2.1,2.1,0.13,-0.1,-0.1,29,2.22,22,0,1,2,3,1,2,0.15,1,0,0,0,1,0,9,1,0,3,3,0,0,0,294,20,2023-2024,Attacking Midfielders,30
Marcus Rashford,eng ENG,FW,Manchester Utd,25,1997,25.2,eng Premier League,1025,24,124,345,571,130,1023,109,48,44.0,53,48.6,690,4978,2393,95,51,64,59,38,799,185,2,0,0,13,21,12,35,4,12,1,0,0,81,15,26,36.6,559,742,75.3,7674,2035,351,418,84.0,139,192,72.4,33,61,54.1,2,2.3,2.8,-0.3,23,34,30,1,65,19,9,4,6,9,26,34.6,15,1,14,23,21,0,7,60,19,31.7,2.38,0.75,0.08,0.26,16.8,1,2,2,7.4,5.8,0.1,-0.4,-0.8,87,3.45,57,1,16,7,6,0,12,0.48,10,0,1,0,1,0,26,6,4,16,3,0,0,0,559,18,2023-2024,Forwards,25
Giacomo Raspadori,it ITA,"FW,MF",Napoli,23,2000,17.6,it Serie A,886,5,69,373,449,90,885,30,14,46.7,14,46.7,541,2860,899,29,18,12,33,18,689,139,0,0,0,17,19,5,65,3,10,0,0,0,53,7,18,28.0,525,709,74.0,9296,1615,242,289,83.7,198,258,76.7,67,113,59.3,3,4.0,3.0,-1.0,36,38,15,5,54,21,6,10,5,6,15,40.0,15,1,14,24,7,0,5,60,24,40.0,3.41,1.36,0.08,0.21,18.8,4,0,1,5.9,4.5,0.07,-0.9,0.5,75,4.25,49,11,4,7,3,1,3,0.17,3,0,0,0,0,0,68,6,18,5,28,5,18,0,525,20,2023-2024,Attacking Midfielders,23
Andrei Ratiu,ro ROU,"DF,MF",Rayo Vallecano,25,1998,7.0,es La Liga,392,22,121,157,116,18,392,29,13,44.8,14,48.3,178,1299,729,28,19,8,14,7,219,25,1,0,0,2,4,0,18,0,4,0,0,0,39,6,7,46.2,245,313,78.3,3843,1243,135,159,84.9,90,108,83.3,16,27,59.3,0,0.6,0.6,-0.6,6,15,5,3,19,12,6,5,1,8,15,53.3,4,1,3,12,12,0,0,6,1,16.7,0.86,0.14,0.0,0.0,16.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,11,1.57,10,0,0,0,0,1,0,0.0,0,0,0,0,0,0,60,0,1,56,0,0,0,0,245,14,2023-2024,Defender,25
Raúl,es ESP,FW,Osasuna,22,2000,15.1,es La Liga,455,12,35,199,224,64,455,21,6,28.6,13,61.9,221,899,381,16,11,7,36,16,339,68,4,0,0,13,12,9,6,5,4,0,0,0,28,50,69,42.0,191,306,62.4,2465,453,128,190,67.4,46,68,67.6,6,10,60.0,1,0.6,0.8,0.4,10,14,6,0,22,10,4,2,4,2,10,20.0,9,1,8,15,11,0,6,33,12,36.4,2.19,0.8,0.18,0.5,11.6,0,0,0,4.9,4.9,0.15,1.1,1.1,22,1.46,16,0,0,4,2,0,2,0.13,2,0,0,0,0,0,18,1,0,2,0,0,0,0,191,11,2023-2024,Forwards,22
David Raum,de GER,DF,RB Leipzig,25,1998,30.4,de Bundesliga,2442,88,653,1002,807,45,2442,32,18,56.3,13,40.6,1223,5411,2900,77,44,15,33,15,1474,246,6,0,0,28,12,4,306,27,35,0,0,0,169,27,20,57.4,1566,2154,72.7,28030,10264,680,769,88.4,697,906,76.9,162,371,43.7,8,7.3,10.7,0.7,68,92,62,34,131,58,24,29,5,34,58,58.6,51,9,42,85,82,2,2,14,4,28.6,0.46,0.13,0.14,0.5,20.3,4,0,0,0.8,0.8,0.05,1.2,1.2,101,3.32,58,35,6,1,1,0,13,0.43,5,6,2,0,0,0,469,2,11,277,129,46,54,2,1566,61,2023-2024,Defender,25
Federico Ravaglia,it ITA,GK,Bologna,23,1999,5.9,it Serie A,218,195,214,4,0,0,218,1,1,100.0,0,0.0,132,579,320,0,0,0,1,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,166,206,80.6,3557,2149,58,58,100.0,82,83,98.8,25,64,39.1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,166,0,2023-2024,GK,23
David Raya,es ESP,GK,Arsenal,27,1995,32.0,eng Premier League,1099,764,1060,39,0,0,1099,0,0,0.0,0,0.0,728,3442,1992,0,0,0,1,0,637,0,2,0,0,0,4,0,0,0,1,0,0,0,38,5,1,83.3,800,1068,74.9,19691,14108,228,231,98.7,387,391,99.0,183,439,41.7,0,0.0,0.1,0.0,0,30,0,0,2,1,1,0,0,1,1,100.0,0,0,0,1,8,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,0.12,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,167,0,1,0,0,0,0,0,800,2,2023-2024,GK,27
Tim Ream,us USA,DF,Fulham,35,1987,16.7,eng Premier League,1206,160,585,600,30,7,1206,7,6,85.7,1,14.3,739,4157,2723,11,6,2,6,3,811,3,4,1,1,8,6,1,1,25,9,0,2,0,79,25,19,56.8,944,1060,89.1,18892,6949,308,333,92.5,515,559,92.1,110,143,76.9,0,0.0,0.1,0.0,0,78,1,0,65,20,13,5,2,9,18,50.0,23,15,8,45,61,2,1,1,1,100.0,0.06,0.06,1.0,1.0,1.3,0,0,0,1.0,1.0,0.96,0.0,0.0,10,0.6,9,1,0,0,0,0,1,0.06,1,0,0,0,0,0,49,0,8,0,0,0,0,0,944,9,2023-2024,Defender,35
Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,24,1998,8.0,es La Liga,343,6,46,102,198,36,343,28,10,35.7,16,57.1,180,1419,763,34,15,18,28,12,196,78,1,0,0,13,10,3,63,3,5,0,0,0,31,7,13,35.0,124,225,55.1,2213,845,63,84,75.0,40,67,59.7,17,45,37.8,0,1.8,1.7,-1.8,18,12,6,3,14,9,4,2,3,5,15,33.3,10,1,9,12,7,0,1,17,4,23.5,2.12,0.5,0.06,0.25,19.4,1,0,0,0.8,0.8,0.05,0.2,0.2,29,3.61,15,7,4,2,1,0,0,0.0,0,0,0,0,0,0,44,0,1,12,28,10,8,2,124,18,2023-2024,Attacking Midfielders,24
Nathan Redmond,eng ENG,"FW,MF",Burnley,29,1994,1.6,eng Premier League,88,3,10,31,50,9,88,6,4,66.7,2,33.3,57,435,291,7,5,1,1,2,67,22,1,0,0,4,2,2,3,0,1,0,0,0,6,1,1,50.0,48,73,65.8,723,137,30,36,83.3,11,19,57.9,4,9,44.4,0,0.3,0.4,-0.3,3,3,4,1,8,2,0,0,2,1,4,25.0,1,0,1,2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,5.07,6,0,1,0,1,0,1,0.63,1,0,0,0,0,0,0,0,1,0,0,0,0,0,48,1,2023-2024,Attacking Midfielders,29
Harrison Reed,eng ENG,MF,Fulham,28,1995,14.7,eng Premier League,883,34,214,488,182,10,883,10,5,50.0,5,50.0,449,1715,590,10,10,1,19,13,603,40,6,0,0,26,10,0,19,11,18,0,0,0,72,9,13,40.9,627,748,83.8,9667,2279,306,341,89.7,263,298,88.3,33,51,64.7,2,1.1,1.5,0.9,14,40,15,2,56,29,9,17,3,13,31,41.9,19,9,10,40,24,0,0,9,2,22.2,0.61,0.14,0.0,0.0,23.6,1,0,0,0.3,0.3,0.03,-0.3,-0.3,29,1.97,25,3,0,0,1,0,5,0.34,3,2,0,0,0,0,46,2,0,7,5,2,3,0,627,24,2023-2024,Central Midfielders,28
Sergio Reguilón,es ESP,DF,Manchester Utd,26,1996,4.6,eng Premier League,378,8,70,155,155,9,378,11,3,27.3,4,36.4,184,847,441,11,4,2,8,1,217,38,3,0,0,4,11,3,29,5,8,0,0,0,21,5,9,35.7,244,314,77.7,3669,1356,137,157,87.3,84,111,75.7,16,26,61.5,0,0.7,0.6,-0.7,8,20,4,2,27,13,6,2,5,8,17,47.1,10,0,10,18,7,0,0,4,0,0.0,0.87,0.0,0.0,0.0,18.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,15,3.28,13,1,0,1,0,0,1,0.22,1,0,0,0,0,0,60,0,1,49,6,1,4,0,244,7,2023-2024,Defender,26
Sergio Reguilón,es ESP,DF,Brentford,26,1996,12.4,eng Premier League,708,55,242,253,228,22,708,26,13,50.0,11,42.3,318,1988,1160,34,25,2,22,5,332,40,4,1,0,10,15,1,72,16,20,0,1,0,75,14,20,41.2,351,522,67.2,6057,2626,161,194,83.0,147,201,73.1,34,82,41.5,4,2.8,2.2,1.2,20,17,17,13,38,45,26,18,1,24,40,60.0,23,6,17,61,41,1,0,13,1,7.7,1.05,0.08,0.0,0.0,18.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,35,2.82,20,11,1,2,1,0,6,0.48,2,2,0,2,0,0,91,1,1,35,27,8,11,0,351,19,2023-2024,Defender,26
Tijjani Reijnders,nl NED,MF,Milan,25,1998,31.3,it Serie A,2022,54,323,1181,533,62,2022,55,35,63.6,17,30.9,1367,9122,4195,88,81,18,40,38,1571,90,8,0,0,21,20,1,39,18,25,0,0,0,136,8,18,30.8,1575,1746,90.2,24974,6527,773,822,94.0,664,708,93.8,92,129,71.3,3,3.7,4.1,-0.7,50,168,37,6,204,46,10,31,5,21,43,48.8,26,8,18,64,26,0,3,44,9,20.5,1.4,0.29,0.07,0.33,20.1,0,0,0,3.2,3.2,0.07,-0.2,-0.2,132,4.21,102,11,11,4,1,3,18,0.57,16,0,2,0,0,0,73,7,2,14,23,11,7,0,1575,22,2023-2024,Central Midfielders,25
Pepe Reina,es ESP,GK,Villarreal,40,1982,2.0,es La Liga,73,69,73,0,0,0,73,0,0,0.0,0,0.0,47,274,156,0,0,0,0,0,39,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,57,69,82.6,1467,1057,11,11,100.0,32,32,100.0,14,26,53.8,0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,57,0,2023-2024,GK,40
Reinier,br BRA,"MF,FW",Frosinone,21,2002,11.8,it Serie A,528,10,67,256,211,33,528,18,9,50.0,8,44.4,271,1254,526,10,7,1,22,15,348,42,3,0,0,17,9,1,13,10,10,0,0,0,54,9,18,33.3,318,401,79.3,4584,1095,192,220,87.3,103,134,76.9,13,19,68.4,2,1.9,0.7,0.1,16,27,15,2,32,21,6,12,3,5,17,29.4,24,4,20,31,5,0,2,14,6,42.9,1.19,0.51,0.14,0.33,16.3,0,0,0,1.3,1.3,0.09,0.7,0.7,34,2.89,31,3,0,0,0,0,5,0.42,5,0,0,0,0,0,18,2,2,4,8,1,0,0,318,10,2023-2024,Attacking Midfielders,21
Rocco Reitz,de GER,MF,Gladbach,21,2002,23.7,de Bundesliga,1377,54,380,758,259,46,1377,52,20,38.5,25,48.1,788,3375,1648,41,29,12,40,30,870,58,2,0,0,26,45,2,15,44,36,0,0,0,171,13,26,33.3,782,1043,75.0,12375,4208,417,489,85.3,285,368,77.4,54,99,54.5,3,2.4,2.6,0.6,20,80,17,2,110,61,28,29,4,28,55,50.9,61,20,41,105,31,1,6,33,14,42.4,1.39,0.59,0.18,0.43,17.3,0,0,0,3.7,3.7,0.11,2.3,2.3,63,2.66,42,0,7,5,4,5,8,0.34,5,0,2,0,0,1,33,11,2,1,0,0,0,0,782,43,2023-2024,Central Midfielders,21
Álex Remiro,es ESP,GK,Real Sociedad,28,1995,36.4,es La Liga,1353,1103,1338,15,0,0,1353,0,0,0.0,0,0.0,783,3944,1947,0,0,0,2,0,726,0,3,1,0,1,4,0,0,0,0,0,0,0,60,6,0,100.0,965,1258,76.7,26777,19177,165,165,100.0,489,495,98.8,310,592,52.4,0,0.0,0.1,0.0,1,19,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,24,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,0.16,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0,276,0,1,0,0,0,0,0,965,0,2023-2024,GK,28
Guillaume Restes,fr FRA,GK,Toulouse,18,2005,34.0,fr Ligue 1,990,813,982,8,0,0,990,1,1,100.0,0,0.0,594,3013,1714,0,0,0,1,0,442,0,3,0,0,1,11,0,0,0,0,0,1,0,42,2,0,100.0,666,897,74.2,16109,10808,173,174,99.4,333,342,97.4,156,373,41.8,0,0.0,0.0,0.0,0,3,1,0,0,0,0,0,0,0,3,0.0,0,0,0,0,19,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0.06,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,291,0,0,1,0,0,0,0,666,2,2023-2024,GK,18
Mateo Retegui,it ITA,FW,Genoa,24,1999,24.6,it Serie A,685,33,77,307,308,92,684,36,14,38.9,18,50.0,393,1613,386,18,12,8,81,40,503,112,5,0,0,36,25,4,20,0,9,0,0,0,58,60,61,49.6,265,412,64.3,3135,410,177,233,76.0,61,104,58.7,6,15,40.0,2,0.7,0.6,1.3,11,10,5,0,17,17,7,8,2,6,20,30.0,18,2,16,17,30,0,7,62,22,35.5,2.52,0.89,0.1,0.27,14.3,0,1,1,5.8,5.0,0.08,1.2,1.0,29,1.18,16,0,4,6,3,0,4,0.16,3,0,1,0,0,0,27,0,0,2,0,0,0,0,265,21,2023-2024,Forwards,24
Marco Reus,de GER,"MF,FW",Dortmund,34,1989,17.8,de Bundesliga,906,31,149,404,363,77,906,21,8,38.1,10,47.6,496,2576,1275,31,33,7,42,15,632,89,2,0,0,21,21,4,32,5,25,0,0,0,58,13,18,41.9,588,707,83.2,8017,2071,339,374,90.6,172,202,85.1,30,46,65.2,8,5.1,3.7,2.9,36,38,20,2,64,37,20,14,3,12,27,44.4,17,2,15,42,18,0,6,42,20,47.6,2.36,1.12,0.14,0.3,14.2,8,0,0,6.5,6.5,0.16,-0.5,-0.5,69,3.88,45,7,1,8,6,2,10,0.56,4,2,0,1,2,1,70,6,2,7,19,8,9,0,588,19,2023-2024,Attacking Midfielders,34
